Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
09/08/2019,Liverpool,Norwich,4,1,H,4,0,H,M Oliver
10/08/2019,West Ham,Man City,0,5,A,0,1,A,M Dean
10/08/2019,Bournemouth,Sheffield United,1,1,D,0,0,D,K Friend
10/08/2019,Burnley,Southampton,3,0,H,0,0,D,G Scott
10/08/2019,Crystal Palace,Everton,0,0,D,0,0,D,J Moss
10/08/2019,Watford,Brighton,0,3,A,0,1,A,C Pawson
10/08/2019,Tottenham,Aston Villa,3,1,H,0,1,A,C Kavanagh
11/08/2019,Leicester,Wolves,0,0,D,0,0,D,A Marriner
11/08/2019,Newcastle,Arsenal,0,1,A,0,0,D,M Atkinson
11/08/2019,Man United,Chelsea,4,0,H,1,0,H,A Taylor
17/08/2019,Arsenal,Burnley,2,1,H,1,1,D,M Dean
17/08/2019,Aston Villa,Bournemouth,1,2,A,0,2,A,M Atkinson
17/08/2019,Brighton,West Ham,1,1,D,0,0,D,A Taylor
17/08/2019,Everton,Watford,1,0,H,1,0,H,L Mason
17/08/2019,Norwich,Newcastle,3,1,H,1,0,H,S Attwell
17/08/2019,Southampton,Liverpool,1,2,A,0,1,A,A Marriner
17/08/2019,Man City,Tottenham,2,2,D,2,1,H,M Oliver
18/08/2019,Sheffield United,Crystal Palace,1,0,H,0,0,D,D Coote
18/08/2019,Chelsea,Leicester,1,1,D,1,0,H,O Langford
19/08/2019,Wolves,Man United,1,1,D,0,1,A,J Moss
23/08/2019,Aston Villa,Everton,2,0,H,1,0,H,M Oliver
24/08/2019,Norwich,Chelsea,2,3,A,2,2,D,M Atkinson
24/08/2019,Brighton,Southampton,0,2,A,0,0,D,K Friend
24/08/2019,Man United,Crystal Palace,1,2,A,0,1,A,P Tierney
24/08/2019,Sheffield United,Leicester,1,2,A,0,1,A,A Madley
24/08/2019,Watford,West Ham,1,3,A,1,1,D,C Kavanagh
24/08/2019,Liverpool,Arsenal,3,1,H,1,0,H,A Taylor
25/08/2019,Bournemouth,Man City,1,3,A,1,2,A,A Marriner
25/08/2019,Tottenham,Newcastle,0,1,A,0,1,A,M Dean
25/08/2019,Wolves,Burnley,1,1,D,0,1,A,C Pawson
31/08/2019,Southampton,Man United,1,1,D,0,1,A,M Dean
31/08/2019,Chelsea,Sheffield United,2,2,D,2,0,H,S Attwell
31/08/2019,Crystal Palace,Aston Villa,1,0,H,0,0,D,K Friend
31/08/2019,Leicester,Bournemouth,3,1,H,2,1,H,P Bankes
31/08/2019,Man City,Brighton,4,0,H,2,0,H,J Moss
31/08/2019,Newcastle,Watford,1,1,D,1,1,D,G Scott
31/08/2019,West Ham,Norwich,2,0,H,1,0,H,P Tierney
31/08/2019,Burnley,Liverpool,0,3,A,0,2,A,C Kavanagh
01/09/2019,Everton,Wolves,3,2,H,2,1,H,A Taylor
01/09/2019,Arsenal,Tottenham,2,2,D,1,2,A,M Atkinson
14/09/2019,Liverpool,Newcastle,3,1,H,2,1,H,A Marriner
14/09/2019,Brighton,Burnley,1,1,D,0,0,D,M Oliver
14/09/2019,Man United,Leicester,1,0,H,1,0,H,M Atkinson
14/09/2019,Sheffield United,Southampton,0,1,A,0,0,D,L Mason
14/09/2019,Tottenham,Crystal Palace,4,0,H,4,0,H,C Pawson
14/09/2019,Wolves,Chelsea,2,5,A,0,3,A,G Scott
14/09/2019,Norwich,Man City,3,2,H,2,1,H,K Friend
15/09/2019,Bournemouth,Everton,3,1,H,1,1,D,P Tierney
15/09/2019,Watford,Arsenal,2,2,D,0,2,A,A Taylor
16/09/2019,Aston Villa,West Ham,0,0,D,0,0,D,M Dean
20/09/2019,Southampton,Bournemouth,1,3,A,0,2,A,C Kavanagh
21/09/2019,Leicester,Tottenham,2,1,H,0,1,A,P Tierney
21/09/2019,Burnley,Norwich,2,0,H,2,0,H,D Coote
21/09/2019,Everton,Sheffield United,0,2,A,0,1,A,S Hooper
21/09/2019,Man City,Watford,8,0,H,5,0,H,M Dean
21/09/2019,Newcastle,Brighton,0,0,D,0,0,D,M Atkinson
22/09/2019,Crystal Palace,Wolves,1,1,D,0,0,D,S Attwell
22/09/2019,West Ham,Man United,2,0,H,1,0,H,A Taylor
22/09/2019,Arsenal,Aston Villa,3,2,H,0,1,A,J Moss
22/09/2019,Chelsea,Liverpool,1,2,A,0,2,A,M Oliver
28/09/2019,Sheffield United,Liverpool,0,1,A,0,0,D,A Taylor
28/09/2019,Aston Villa,Burnley,2,2,D,1,0,H,L Mason
28/09/2019,Bournemouth,West Ham,2,2,D,1,1,D,S Attwell
28/09/2019,Chelsea,Brighton,2,0,H,0,0,D,C Kavanagh
28/09/2019,Crystal Palace,Norwich,2,0,H,1,0,H,J Moss
28/09/2019,Tottenham,Southampton,2,1,H,2,1,H,G Scott
28/09/2019,Wolves,Watford,2,0,H,1,0,H,P Tierney
28/09/2019,Everton,Man City,1,3,A,1,1,D,M Oliver
29/09/2019,Leicester,Newcastle,5,0,H,1,0,H,C Pawson
30/09/2019,Man United,Arsenal,1,1,D,1,0,H,K Friend
05/10/2019,Brighton,Tottenham,3,0,H,2,0,H,J Moss
05/10/2019,Burnley,Everton,1,0,H,0,0,D,G Scott
05/10/2019,Liverpool,Leicester,2,1,H,1,0,H,C Kavanagh
05/10/2019,Norwich,Aston Villa,1,5,A,0,2,A,A Madley
05/10/2019,Watford,Sheffield United,0,0,D,0,0,D,A Marriner
05/10/2019,West Ham,Crystal Palace,1,2,A,0,0,D,M Oliver
06/10/2019,Arsenal,Bournemouth,1,0,H,1,0,H,M Atkinson
06/10/2019,Man City,Wolves,0,2,A,0,0,D,C Pawson
06/10/2019,Southampton,Chelsea,1,4,A,1,3,A,P Tierney
06/10/2019,Newcastle,Man United,1,0,H,0,0,D,M Dean
19/10/2019,Everton,West Ham,2,0,H,1,0,H,P Tierney
19/10/2019,Aston Villa,Brighton,2,1,H,1,1,D,D Coote
19/10/2019,Bournemouth,Norwich,0,0,D,0,0,D,L Mason
19/10/2019,Chelsea,Newcastle,1,0,H,0,0,D,A Marriner
19/10/2019,Leicester,Burnley,2,1,H,1,1,D,J Moss
19/10/2019,Tottenham,Watford,1,1,D,0,1,A,C Kavanagh
19/10/2019,Wolves,Southampton,1,1,D,0,0,D,P Bankes
19/10/2019,Crystal Palace,Man City,0,2,A,0,2,A,A Taylor
20/10/2019,Man United,Liverpool,1,1,D,1,0,H,M Atkinson
21/10/2019,Sheffield United,Arsenal,1,0,H,1,0,H,M Dean
25/10/2019,Southampton,Leicester,0,9,A,0,5,A,A Marriner
26/10/2019,Man City,Aston Villa,3,0,H,0,0,D,G Scott
26/10/2019,Brighton,Everton,3,2,H,1,1,D,A Madley
26/10/2019,Watford,Bournemouth,0,0,D,0,0,D,M Dean
26/10/2019,West Ham,Sheffield United,1,1,D,1,0,H,D Coote
26/10/2019,Burnley,Chelsea,2,4,A,0,2,A,M Oliver
27/10/2019,Newcastle,Wolves,1,1,D,1,0,H,K Friend
27/10/2019,Arsenal,Crystal Palace,2,2,D,2,1,H,M Atkinson
27/10/2019,Liverpool,Tottenham,2,1,H,0,1,A,A Taylor
27/10/2019,Norwich,Man United,1,3,A,0,2,A,S Attwell
02/11/2019,Bournemouth,Man United,1,0,H,1,0,H,C Kavanagh
02/11/2019,Arsenal,Wolves,1,1,D,1,0,H,M Oliver
02/11/2019,Aston Villa,Liverpool,1,2,A,1,0,H,J Moss
02/11/2019,Brighton,Norwich,2,0,H,0,0,D,K Friend
02/11/2019,Man City,Southampton,2,1,H,0,1,A,L Mason
02/11/2019,Sheffield United,Burnley,3,0,H,3,0,H,S Hooper
02/11/2019,West Ham,Newcastle,2,3,A,0,2,A,S Attwell
02/11/2019,Watford,Chelsea,1,2,A,0,1,A,A Taylor
03/11/2019,Crystal Palace,Leicester,0,2,A,0,0,D,P Tierney
03/11/2019,Everton,Tottenham,1,1,D,0,0,D,M Atkinson
08/11/2019,Norwich,Watford,0,2,A,0,1,A,A Marriner
09/11/2019,Chelsea,Crystal Palace,2,0,H,0,0,D,M Dean
09/11/2019,Burnley,West Ham,3,0,H,2,0,H,K Friend
09/11/2019,Newcastle,Bournemouth,2,1,H,1,1,D,M Atkinson
09/11/2019,Southampton,Everton,1,2,A,0,1,A,P Tierney
09/11/2019,Tottenham,Sheffield United,1,1,D,0,0,D,G Scott
09/11/2019,Leicester,Arsenal,2,0,H,0,0,D,C Kavanagh
10/11/2019,Man United,Brighton,3,1,H,2,0,H,J Moss
10/11/2019,Wolves,Aston Villa,2,1,H,1,0,H,A Taylor
10/11/2019,Liverpool,Man City,3,1,H,2,0,H,M Oliver
23/11/2019,West Ham,Tottenham,2,3,A,0,2,A,M Oliver
23/11/2019,Arsenal,Southampton,2,2,D,1,1,D,S Attwell
23/11/2019,Bournemouth,Wolves,1,2,A,0,2,A,S Hooper
23/11/2019,Brighton,Leicester,0,2,A,0,0,D,M Dean
23/11/2019,Crystal Palace,Liverpool,1,2,A,0,0,D,K Friend
23/11/2019,Everton,Norwich,0,2,A,0,0,D,A Taylor
23/11/2019,Watford,Burnley,0,3,A,0,0,D,P Tierney
23/11/2019,Man City,Chelsea,2,1,H,2,1,H,M Atkinson
24/11/2019,Sheffield United,Man United,3,3,D,1,0,H,A Marriner
25/11/2019,Aston Villa,Newcastle,2,0,H,2,0,H,L Mason
30/11/2019,Newcastle,Man City,2,2,D,1,1,D,C Kavanagh
30/11/2019,Burnley,Crystal Palace,0,2,A,0,1,A,P Bankes
30/11/2019,Chelsea,West Ham,0,1,A,0,0,D,J Moss
30/11/2019,Liverpool,Brighton,2,1,H,2,0,H,M Atkinson
30/11/2019,Tottenham,Bournemouth,3,2,H,1,0,H,L Mason
30/11/2019,Southampton,Watford,2,1,H,0,1,A,M Oliver
01/12/2019,Norwich,Arsenal,2,2,D,2,1,H,P Tierney
01/12/2019,Wolves,Sheffield United,1,1,D,0,1,A,D Coote
01/12/2019,Leicester,Everton,2,1,H,0,1,A,G Scott
01/12/2019,Man United,Aston Villa,2,2,D,1,1,D,C Pawson
03/12/2019,Crystal Palace,Bournemouth,1,0,H,0,0,D,A Taylor
03/12/2019,Burnley,Man City,1,4,A,0,1,A,J Moss
04/12/2019,Chelsea,Aston Villa,2,1,H,1,1,D,C Kavanagh
04/12/2019,Leicester,Watford,2,0,H,0,0,D,C Pawson
04/12/2019,Man United,Tottenham,2,1,H,1,1,D,P Tierney
04/12/2019,Southampton,Norwich,2,1,H,2,0,H,K Friend
04/12/2019,Wolves,West Ham,2,0,H,1,0,H,A Marriner
04/12/2019,Liverpool,Everton,5,2,H,4,2,H,M Dean
05/12/2019,Sheffield United,Newcastle,0,2,A,0,1,A,S Attwell
05/12/2019,Arsenal,Brighton,1,2,A,0,1,A,G Scott
07/12/2019,Everton,Chelsea,3,1,H,1,0,H,C Pawson
07/12/2019,Bournemouth,Liverpool,0,3,A,0,2,A,C Kavanagh
07/12/2019,Tottenham,Burnley,5,0,H,3,0,H,K Friend
07/12/2019,Watford,Crystal Palace,0,0,D,0,0,D,M Atkinson
07/12/2019,Man City,Man United,1,2,A,0,2,A,A Taylor
08/12/2019,Aston Villa,Leicester,1,4,A,1,2,A,M Oliver
08/12/2019,Newcastle,Southampton,2,1,H,0,0,D,D Coote
08/12/2019,Norwich,Sheffield United,1,2,A,1,0,H,S Hooper
08/12/2019,Brighton,Wolves,2,2,D,2,2,D,J Moss
09/12/2019,West Ham,Arsenal,1,3,A,1,0,H,M Dean
14/12/2019,Liverpool,Watford,2,0,H,1,0,H,A Marriner
14/12/2019,Burnley,Newcastle,1,0,H,0,0,D,T Robinson
14/12/2019,Chelsea,Bournemouth,0,1,A,0,0,D,G Scott
14/12/2019,Leicester,Norwich,1,1,D,1,1,D,A Madley
14/12/2019,Sheffield United,Aston Villa,2,0,H,0,0,D,P Bankes
14/12/2019,Southampton,West Ham,0,1,A,0,1,A,M Atkinson
15/12/2019,Man United,Everton,1,1,D,0,1,A,M Oliver
15/12/2019,Wolves,Tottenham,1,2,A,0,1,A,S Attwell
15/12/2019,Arsenal,Man City,0,3,A,0,3,A,P Tierney
16/12/2019,Crystal Palace,Brighton,1,1,D,0,0,D,C Pawson
21/12/2019,Everton,Arsenal,0,0,D,0,0,D,K Friend
21/12/2019,Aston Villa,Southampton,1,3,A,0,2,A,C Pawson
21/12/2019,Bournemouth,Burnley,0,1,A,0,0,D,M Atkinson
21/12/2019,Brighton,Sheffield United,0,1,A,0,1,A,R Jones
21/12/2019,Newcastle,Crystal Palace,1,0,H,0,0,D,S Hooper
21/12/2019,Norwich,Wolves,1,2,A,1,0,H,P Bankes
21/12/2019,Man City,Leicester,3,1,H,2,1,H,M Dean
22/12/2019,Watford,Man United,2,0,H,0,0,D,L Mason
22/12/2019,Tottenham,Chelsea,0,2,A,0,2,A,A Taylor
26/12/2019,Tottenham,Brighton,2,1,H,0,1,A,G Scott
26/12/2019,Aston Villa,Norwich,1,0,H,0,0,D,C Kavanagh
26/12/2019,Bournemouth,Arsenal,1,1,D,1,0,H,S Attwell
26/12/2019,Chelsea,Southampton,0,2,A,0,1,A,J Moss
26/12/2019,Crystal Palace,West Ham,2,1,H,0,0,D,A Marriner
26/12/2019,Everton,Burnley,1,0,H,0,0,D,A Taylor
26/12/2019,Sheffield United,Watford,1,1,D,1,1,D,D Coote
26/12/2019,Man United,Newcastle,4,1,H,3,1,H,K Friend
26/12/2019,Leicester,Liverpool,0,4,A,0,1,A,M Oliver
27/12/2019,Wolves,Man City,3,2,H,0,1,A,M Atkinson
28/12/2019,Brighton,Bournemouth,2,0,H,1,0,H,P Tierney
28/12/2019,Newcastle,Everton,1,2,A,0,1,A,L Mason
28/12/2019,Southampton,Crystal Palace,1,1,D,0,0,D,A Madley
28/12/2019,Watford,Aston Villa,3,0,H,1,0,H,S Hooper
28/12/2019,Norwich,Tottenham,2,2,D,1,0,H,K Friend
28/12/2019,West Ham,Leicester,1,2,A,1,1,D,D Coote
28/12/2019,Burnley,Man United,0,2,A,0,1,A,M Dean
29/12/2019,Arsenal,Chelsea,1,2,A,1,0,H,C Pawson
29/12/2019,Liverpool,Wolves,1,0,H,1,0,H,A Taylor
29/12/2019,Man City,Sheffield United,2,0,H,0,0,D,C Kavanagh
01/01/2020,Brighton,Chelsea,1,1,D,0,1,A,S Attwell
01/01/2020,Burnley,Aston Villa,1,2,A,0,2,A,M Oliver
01/01/2020,Newcastle,Leicester,0,3,A,0,2,A,M Atkinson
01/01/2020,Southampton,Tottenham,1,0,H,1,0,H,M Dean
01/01/2020,Watford,Wolves,2,1,H,1,0,H,A Madley
01/01/2020,Man City,Everton,2,1,H,0,0,D,A Marriner
01/01/2020,Norwich,Crystal Palace,1,1,D,1,0,H,J Moss
01/01/2020,West Ham,Bournemouth,4,0,H,3,0,H,G Scott
01/01/2020,Arsenal,Man United,2,0,H,2,0,H,C Kavanagh
02/01/2020,Liverpool,Sheffield United,2,0,H,1,0,H,P Tierney
10/01/2020,Sheffield United,West Ham,1,0,H,0,0,D,M Oliver
11/01/2020,Crystal Palace,Arsenal,1,1,D,0,1,A,P Tierney
11/01/2020,Chelsea,Burnley,3,0,H,2,0,H,K Friend
11/01/2020,Everton,Brighton,1,0,H,1,0,H,D Coote
