Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
16/08/03,Arsenal,Everton,2,1,H,1,0,H,M Halsey
16/08/03,Birmingham,Tottenham,1,0,H,1,0,H,R Styles
16/08/03,Blackburn,Wolves,5,1,H,2,0,H,J Winter
16/08/03,Fulham,Middlesbrough,3,2,H,1,1,D,G Poll
16/08/03,Leicester,Southampton,2,2,D,2,0,H,M Riley
16/08/03,Man United,Bolton,4,0,H,1,0,H,P Durkin
16/08/03,Portsmouth,Aston Villa,2,1,H,1,0,H,G Barber
17/08/03,Charlton,Man City,0,3,A,0,2,A,M Dean
17/08/03,Leeds,Newcastle,2,2,D,1,1,D,R Martin
17/08/03,Liverpool,Chelsea,1,2,A,0,1,A,S Bennett
23/08/03,Bolton,Blackburn,2,2,D,2,0,H,A D'Urso
23/08/03,Chelsea,Leicester,2,1,H,2,1,H,R Styles
23/08/03,Everton,Fulham,3,1,H,3,0,H,N Barry
23/08/03,Man City,Portsmouth,1,1,D,0,1,A,M Messias
23/08/03,Newcastle,Man United,1,2,A,1,0,H,U Rennie
23/08/03,Southampton,Birmingham,0,0,D,0,0,D,Graham Barber
23/08/03,Tottenham,Leeds,2,1,H,1,1,D,S Dunn
23/08/03,Wolves,Charlton,0,4,A,0,4,A,P Dowd
24/08/03,Aston Villa,Liverpool,0,0,D,0,0,D,P Durkin
24/08/03,Middlesbrough,Arsenal,0,4,A,0,3,A,D Gallagher
25/08/03,Blackburn,Man City,2,3,A,1,1,D,A Wiley
26/08/03,Charlton,Everton,2,2,D,1,1,D,S Dunn
26/08/03,Leeds,Southampton,0,0,D,0,0,D,P Durkin
26/08/03,Leicester,Middlesbrough,0,0,D,0,0,D,G Barber
26/08/03,Portsmouth,Bolton,4,0,H,0,0,D,D Gallagher
27/08/03,Arsenal,Aston Villa,2,0,H,0,0,D,M Dean
27/08/03,Liverpool,Tottenham,0,0,D,0,0,D,U Rennie
27/08/03,Man United,Wolves,1,0,H,0,0,D,G Poll
30/08/03,Aston Villa,Leicester,3,1,H,3,0,H,S Bennett
30/08/03,Bolton,Charlton,0,0,D,0,0,D,A Wiley
30/08/03,Chelsea,Blackburn,2,2,D,1,1,D,M Dean
30/08/03,Everton,Liverpool,0,3,A,0,1,A,M Riley
30/08/03,Middlesbrough,Leeds,2,3,A,0,1,A,N Barry
30/08/03,Newcastle,Birmingham,0,1,A,0,0,D,M Messias
30/08/03,Tottenham,Fulham,0,3,A,0,1,A,J Winter
30/08/03,Wolves,Portsmouth,0,0,D,0,0,D,A D'Urso
31/08/03,Man City,Arsenal,1,2,A,1,0,H,G Poll
31/08/03,Southampton,Man United,1,0,H,0,0,D,M Halsey
13/09/03,Arsenal,Portsmouth,1,1,D,1,1,D,A Wiley
13/09/03,Blackburn,Liverpool,1,3,A,1,1,D,N Barry
13/09/03,Bolton,Middlesbrough,2,0,H,1,0,H,P Dowd
13/09/03,Charlton,Man United,0,2,A,0,0,D,M Riley
13/09/03,Chelsea,Tottenham,4,2,H,2,1,H,G Poll
13/09/03,Everton,Newcastle,2,2,D,0,0,D,R Styles
13/09/03,Southampton,Wolves,2,0,H,1,0,H,U Rennie
14/09/03,Birmingham,Fulham,2,2,D,1,1,D,S Dunn
14/09/03,Man City,Aston Villa,4,1,H,0,1,A,M Halsey
15/09/03,Leicester,Leeds,4,0,H,2,0,H,J Winter
20/09/03,Aston Villa,Charlton,2,1,H,1,0,H,C Foy
20/09/03,Fulham,Man City,2,2,D,0,0,D,P Dowd
20/09/03,Leeds,Birmingham,0,2,A,0,0,D,D Gallagher
20/09/03,Liverpool,Leicester,2,1,H,1,0,H,M Halsey
20/09/03,Newcastle,Bolton,0,0,D,0,0,D,Graham Barber
20/09/03,Portsmouth,Blackburn,1,2,A,0,2,A,P Durkin
20/09/03,Tottenham,Southampton,1,3,A,0,2,A,A D'Urso
20/09/03,Wolves,Chelsea,0,5,A,0,2,A,M Messias
21/09/03,Man United,Arsenal,0,0,D,0,0,D,S Bennett
21/09/03,Middlesbrough,Everton,1,0,H,1,0,H,A Wiley
26/09/03,Arsenal,Newcastle,3,2,H,1,1,D,M Riley
27/09/03,Birmingham,Portsmouth,2,0,H,1,0,H,S Bennett
27/09/03,Bolton,Wolves,1,1,D,0,1,A,M Dean
27/09/03,Chelsea,Aston Villa,1,0,H,1,0,H,J Winter
27/09/03,Leicester,Man United,1,4,A,0,3,A,G Poll
27/09/03,Southampton,Middlesbrough,0,1,A,0,1,A,B Knight
28/09/03,Blackburn,Fulham,0,2,A,0,1,A,M Messias
28/09/03,Charlton,Liverpool,3,2,H,2,1,H,R Styles
28/09/03,Everton,Leeds,4,0,H,3,0,H,P Durkin
28/09/03,Man City,Tottenham,0,0,D,0,0,D,N Barry
04/10/03,Fulham,Leicester,2,0,H,1,0,H,C Foy
04/10/03,Leeds,Blackburn,2,1,H,2,0,H,U Rennie
04/10/03,Liverpool,Arsenal,1,2,A,1,1,D,G Barber
04/10/03,Man United,Birmingham,3,0,H,1,0,H,M Dean
04/10/03,Newcastle,Southampton,1,0,H,1,0,H,P Dowd
04/10/03,Portsmouth,Charlton,1,2,A,1,0,H,G Poll
04/10/03,Tottenham,Everton,3,0,H,1,0,H,D Gallagher
04/10/03,Wolves,Man City,1,0,H,0,0,D,J Winter
05/10/03,Aston Villa,Bolton,1,1,D,0,0,D,R Styles
05/10/03,Middlesbrough,Chelsea,1,2,A,0,1,A,M Halsey
14/10/03,Birmingham,Chelsea,0,0,D,0,0,D,N Barry
18/10/03,Arsenal,Chelsea,2,1,H,1,1,D,P Durkin
18/10/03,Fulham,Wolves,0,0,D,0,0,D,H Webb
18/10/03,Leeds,Man United,0,1,A,0,0,D,G Poll
18/10/03,Man City,Bolton,6,2,H,1,1,D,S Bennett
18/10/03,Middlesbrough,Newcastle,0,1,A,0,1,A,A Wiley
18/10/03,Portsmouth,Liverpool,1,0,H,1,0,H,S Dunn
19/10/03,Birmingham,Aston Villa,0,0,D,0,0,D,M Riley
19/10/03,Everton,Southampton,0,0,D,0,0,D,M Messias
19/10/03,Leicester,Tottenham,1,2,A,1,0,H,A D'Urso
20/10/03,Blackburn,Charlton,0,1,A,0,1,A,G Barber
21/10/03,Fulham,Newcastle,2,3,A,2,1,H,B Knight
25/10/03,Aston Villa,Everton,0,0,D,0,0,D,A D'Urso
25/10/03,Bolton,Birmingham,0,1,A,0,1,A,C Foy
25/10/03,Chelsea,Man City,1,0,H,1,0,H,P Dowd
25/10/03,Liverpool,Leeds,3,1,H,1,1,D,J Winter
25/10/03,Man United,Fulham,1,3,A,1,1,D,M Riley
25/10/03,Newcastle,Portsmouth,3,0,H,2,0,H,P Durkin
