Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
19/08/06,Arsenal,Aston Villa,1,1,D,0,0,D,G Poll
19/08/06,Bolton,Tottenham,2,0,H,2,0,H,P Dowd
19/08/06,Everton,Watford,2,1,H,1,0,H,P Walton
19/08/06,Newcastle,Wigan,2,1,H,1,0,H,M Atkinson
19/08/06,Portsmouth,Blackburn,3,0,H,1,0,H,A Wiley
19/08/06,Reading,Middlesbrough,3,2,H,2,2,D,M Halsey
19/08/06,Sheffield United,Liverpool,1,1,D,0,0,D,R Styles
19/08/06,West Ham,Charlton,3,1,H,0,1,A,H Webb
20/08/06,Chelsea,Man City,3,0,H,2,0,H,S Bennett
20/08/06,Man United,Fulham,5,1,H,4,1,H,A Marriner
22/08/06,Tottenham,Sheffield United,2,0,H,2,0,H,P Walton
22/08/06,Watford,West Ham,1,1,D,0,0,D,M Atkinson
23/08/06,Aston Villa,Reading,2,1,H,1,1,D,L Mason
23/08/06,Blackburn,Everton,1,1,D,0,0,D,U Rennie
23/08/06,Charlton,Man United,0,3,A,0,0,D,C Foy
23/08/06,Fulham,Bolton,1,1,D,0,0,D,A Wiley
23/08/06,Man City,Portsmouth,0,0,D,0,0,D,D Gallagher
23/08/06,Middlesbrough,Chelsea,2,1,H,0,1,A,H Webb
26/08/06,Charlton,Bolton,2,0,H,0,0,D,M Dean
26/08/06,Fulham,Sheffield United,1,0,H,1,0,H,G Poll
26/08/06,Liverpool,West Ham,2,1,H,2,1,H,A Wiley
26/08/06,Man City,Arsenal,1,0,H,1,0,H,U Rennie
26/08/06,Tottenham,Everton,0,2,A,0,0,D,M Halsey
26/08/06,Watford,Man United,1,2,A,1,1,D,P Dowd
26/08/06,Wigan,Reading,1,0,H,1,0,H,M Riley
27/08/06,Aston Villa,Newcastle,2,0,H,2,0,H,H Webb
27/08/06,Blackburn,Chelsea,0,2,A,0,0,D,M Clattenburg
28/08/06,Middlesbrough,Portsmouth,0,4,A,0,1,A,C Foy
09/09/06,Arsenal,Middlesbrough,1,1,D,0,1,A,R Styles
09/09/06,Bolton,Watford,1,0,H,0,0,D,M Clattenburg
09/09/06,Chelsea,Charlton,2,1,H,1,0,H,A Wiley
09/09/06,Everton,Liverpool,3,0,H,2,0,H,G Poll
09/09/06,Man United,Tottenham,1,0,H,1,0,H,M Riley
09/09/06,Newcastle,Fulham,1,2,A,0,0,D,C Foy
09/09/06,Portsmouth,Wigan,1,0,H,0,0,D,P Walton
09/09/06,Sheffield United,Blackburn,0,0,D,0,0,D,M Dean
10/09/06,West Ham,Aston Villa,1,1,D,0,1,A,S Bennett
11/09/06,Reading,Man City,1,0,H,1,0,H,H Webb
16/09/06,Bolton,Middlesbrough,0,0,D,0,0,D,S Bennett
16/09/06,Charlton,Portsmouth,0,1,A,0,0,D,P Dowd
16/09/06,Everton,Wigan,2,2,D,0,0,D,A Wiley
16/09/06,Sheffield United,Reading,1,2,A,0,2,A,A Marriner
16/09/06,Watford,Aston Villa,0,0,D,0,0,D,M Dean
17/09/06,Blackburn,Man City,4,2,H,2,2,D,M Atkinson
17/09/06,Chelsea,Liverpool,1,0,H,1,0,H,M Riley
17/09/06,Man United,Arsenal,0,1,A,0,0,D,G Poll
17/09/06,Tottenham,Fulham,0,0,D,0,0,D,M Clattenburg
17/09/06,West Ham,Newcastle,0,2,A,0,0,D,R Styles
20/09/06,Liverpool,Newcastle,2,0,H,1,0,H,M Halsey
23/09/06,Arsenal,Sheffield United,3,0,H,0,0,D,A Wiley
23/09/06,Aston Villa,Charlton,2,0,H,1,0,H,M Riley
23/09/06,Fulham,Chelsea,0,2,A,0,0,D,M Halsey
23/09/06,Liverpool,Tottenham,3,0,H,0,0,D,H Webb
23/09/06,Man City,West Ham,2,0,H,0,0,D,C Foy
23/09/06,Middlesbrough,Blackburn,0,1,A,0,1,A,G Poll
