Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
18/08/12,Arsenal,Sunderland,0,0,D,0,0,D,C Foy
18/08/12,Fulham,Norwich,5,0,H,2,0,H,M Oliver
18/08/12,Newcastle,Tottenham,2,1,H,0,0,D,M Atkinson
18/08/12,QPR,Swansea,0,5,A,0,1,A,L Probert
18/08/12,Reading,Stoke,1,1,D,0,1,A,K Friend
18/08/12,West Brom,Liverpool,3,0,H,1,0,H,P Dowd
18/08/12,West Ham,Aston Villa,1,0,H,1,0,H,M Dean
19/08/12,Man City,Southampton,3,2,H,1,0,H,H Webb
19/08/12,Wigan,Chelsea,0,2,A,0,2,A,M Jones
20/08/12,Everton,Man United,1,0,H,0,0,D,A Marriner
22/08/12,Chelsea,Reading,4,2,H,1,2,A,L Mason
25/08/12,Aston Villa,Everton,1,3,A,0,3,A,M Oliver
25/08/12,Chelsea,Newcastle,2,0,H,2,0,H,P Dowd
25/08/12,Man United,Fulham,3,2,H,3,1,H,K Friend
25/08/12,Norwich,QPR,1,1,D,1,1,D,M Clattenburg
25/08/12,Southampton,Wigan,0,2,A,0,0,D,A Taylor
25/08/12,Swansea,West Ham,3,0,H,2,0,H,M Atkinson
25/08/12,Tottenham,West Brom,1,1,D,0,0,D,M Dean
26/08/12,Liverpool,Man City,2,2,D,1,0,H,A Marriner
26/08/12,Stoke,Arsenal,0,0,D,0,0,D,L Mason
01/09/12,Man City,QPR,3,1,H,1,0,H,C Foy
01/09/12,Swansea,Sunderland,2,2,D,1,2,A,R East
01/09/12,Tottenham,Norwich,1,1,D,0,0,D,M Halsey
01/09/12,West Brom,Everton,2,0,H,0,0,D,J Moss
01/09/12,West Ham,Fulham,3,0,H,3,0,H,A Taylor
01/09/12,Wigan,Stoke,2,2,D,1,1,D,M Atkinson
02/09/12,Liverpool,Arsenal,0,2,A,0,1,A,H Webb
02/09/12,Newcastle,Aston Villa,1,1,D,0,1,A,L Probert
02/09/12,Southampton,Man United,2,3,A,1,1,D,M Dean
15/09/12,Arsenal,Southampton,6,1,H,4,1,H,K Friend
15/09/12,Aston Villa,Swansea,2,0,H,1,0,H,L Mason
15/09/12,Fulham,West Brom,3,0,H,2,0,H,R East
15/09/12,Man United,Wigan,4,0,H,0,0,D,M Oliver
15/09/12,Norwich,West Ham,0,0,D,0,0,D,C Foy
15/09/12,QPR,Chelsea,0,0,D,0,0,D,A Marriner
15/09/12,Stoke,Man City,1,1,D,1,1,D,M Clattenburg
15/09/12,Sunderland,Liverpool,1,1,D,1,0,H,M Atkinson
16/09/12,Reading,Tottenham,1,3,A,0,1,A,H Webb
17/09/12,Everton,Newcastle,2,2,D,1,0,H,M Jones
22/09/12,Chelsea,Stoke,1,0,H,0,0,D,M Oliver
22/09/12,Southampton,Aston Villa,4,1,H,0,1,A,J Moss
22/09/12,Swansea,Everton,0,3,A,0,2,A,A Taylor
22/09/12,West Brom,Reading,1,0,H,0,0,D,C Foy
22/09/12,West Ham,Sunderland,1,1,D,0,1,A,L Mason
22/09/12,Wigan,Fulham,1,2,A,0,1,A,L Probert
23/09/12,Liverpool,Man United,1,2,A,0,0,D,M Halsey
23/09/12,Man City,Arsenal,1,1,D,1,0,H,M Dean
23/09/12,Newcastle,Norwich,1,0,H,1,0,H,N Swarbrick
23/09/12,Tottenham,QPR,2,1,H,0,1,A,P Dowd
29/09/12,Arsenal,Chelsea,1,2,A,1,1,D,M Atkinson
29/09/12,Everton,Southampton,3,1,H,3,1,H,L Probert
29/09/12,Fulham,Man City,1,2,A,1,1,D,M Halsey
29/09/12,Man United,Tottenham,2,3,A,0,2,A,C Foy
29/09/12,Norwich,Liverpool,2,5,A,0,2,A,M Jones
29/09/12,Reading,Newcastle,2,2,D,0,0,D,A Marriner
29/09/12,Stoke,Swansea,2,0,H,2,0,H,J Moss
29/09/12,Sunderland,Wigan,1,0,H,0,0,D,H Webb
30/09/12,Aston Villa,West Brom,1,1,D,0,0,D,A Taylor
01/10/12,QPR,West Ham,1,2,A,0,2,A,M Clattenburg
06/10/12,Chelsea,Norwich,4,1,H,3,1,H,A Taylor
06/10/12,Man City,Sunderland,3,0,H,1,0,H,L Probert
06/10/12,Swansea,Reading,2,2,D,0,2,A,M Dean
06/10/12,West Brom,QPR,3,2,H,2,1,H,M Jones
06/10/12,West Ham,Arsenal,1,3,A,1,1,D,P Dowd
06/10/12,Wigan,Everton,2,2,D,2,1,H,K Friend
07/10/12,Liverpool,Stoke,0,0,D,0,0,D,L Mason
07/10/12,Newcastle,Man United,0,3,A,0,2,A,H Webb
07/10/12,Southampton,Fulham,2,2,D,1,0,H,M Clattenburg
