Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
08/08/2015,Bournemouth,Aston Villa,0,1,A,0,0,D,M Clattenburg
08/08/2015,Chelsea,Swansea,2,2,D,2,1,H,M Oliver
08/08/2015,Everton,Watford,2,2,D,0,1,A,M Jones
08/08/2015,Leicester,Sunderland,4,2,H,3,0,H,L Mason
08/08/2015,Man United,Tottenham,1,0,H,1,0,H,J Moss
08/08/2015,Norwich,Crystal Palace,1,3,A,0,1,A,S Hooper
09/08/2015,Arsenal,West Ham,0,2,A,0,1,A,M Atkinson
09/08/2015,Newcastle,Southampton,2,2,D,1,1,D,C Pawson
09/08/2015,Stoke,Liverpool,0,1,A,0,0,D,A Taylor
10/08/2015,West Brom,Man City,0,3,A,0,2,A,M Dean
14/08/2015,Aston Villa,Man United,0,1,A,0,1,A,M Dean
15/08/2015,Southampton,Everton,0,3,A,0,2,A,M Oliver
15/08/2015,Sunderland,Norwich,1,3,A,0,2,A,K Friend
15/08/2015,Swansea,Newcastle,2,0,H,1,0,H,M Jones
15/08/2015,Tottenham,Stoke,2,2,D,2,0,H,R Madley
15/08/2015,Watford,West Brom,0,0,D,0,0,D,P Tierney
15/08/2015,West Ham,Leicester,1,2,A,0,2,A,A Taylor
16/08/2015,Crystal Palace,Arsenal,1,2,A,1,1,D,L Mason
16/08/2015,Man City,Chelsea,3,0,H,1,0,H,M Atkinson
17/08/2015,Liverpool,Bournemouth,1,0,H,1,0,H,C Pawson
22/08/2015,Crystal Palace,Aston Villa,2,1,H,0,0,D,K Stroud
22/08/2015,Leicester,Tottenham,1,1,D,0,0,D,M Atkinson
22/08/2015,Man United,Newcastle,0,0,D,0,0,D,C Pawson
22/08/2015,Norwich,Stoke,1,1,D,1,1,D,M Dean
22/08/2015,Sunderland,Swansea,1,1,D,0,1,A,N Swarbrick
22/08/2015,West Ham,Bournemouth,3,4,A,0,2,A,J Moss
23/08/2015,Everton,Man City,0,2,A,0,0,D,A Taylor
23/08/2015,Watford,Southampton,0,0,D,0,0,D,A Marriner
23/08/2015,West Brom,Chelsea,2,3,A,1,3,A,M Clattenburg
24/08/2015,Arsenal,Liverpool,0,0,D,0,0,D,M Oliver
29/08/2015,Aston Villa,Sunderland,2,2,D,2,1,H,R Madley
29/08/2015,Bournemouth,Leicester,1,1,D,1,0,H,N Swarbrick
29/08/2015,Chelsea,Crystal Palace,1,2,A,0,0,D,C Pawson
29/08/2015,Liverpool,West Ham,0,3,A,0,2,A,K Friend
29/08/2015,Man City,Watford,2,0,H,0,0,D,M Clattenburg
29/08/2015,Newcastle,Arsenal,0,1,A,0,0,D,A Marriner
29/08/2015,Stoke,West Brom,0,1,A,0,1,A,M Oliver
29/08/2015,Tottenham,Everton,0,0,D,0,0,D,M Jones
30/08/2015,Southampton,Norwich,3,0,H,1,0,H,J Moss
30/08/2015,Swansea,Man United,2,1,H,0,0,D,M Atkinson
12/09/2015,Arsenal,Stoke,2,0,H,1,0,H,J Moss
12/09/2015,Crystal Palace,Man City,0,1,A,0,0,D,M Jones
12/09/2015,Everton,Chelsea,3,1,H,2,1,H,A Marriner
12/09/2015,Man United,Liverpool,3,1,H,0,0,D,M Oliver
12/09/2015,Norwich,Bournemouth,3,1,H,1,0,H,M Atkinson
12/09/2015,Watford,Swansea,1,0,H,0,0,D,R Madley
12/09/2015,West Brom,Southampton,0,0,D,0,0,D,S Attwell
13/09/2015,Leicester,Aston Villa,3,2,H,0,1,A,M Dean
13/09/2015,Sunderland,Tottenham,0,1,A,0,0,D,C Pawson
14/09/2015,West Ham,Newcastle,2,0,H,1,0,H,A Taylor
19/09/2015,Aston Villa,West Brom,0,1,A,0,1,A,M Atkinson
19/09/2015,Bournemouth,Sunderland,2,0,H,2,0,H,K Friend
19/09/2015,Chelsea,Arsenal,2,0,H,0,0,D,M Dean
19/09/2015,Man City,West Ham,1,2,A,1,2,A,R Madley
19/09/2015,Newcastle,Watford,1,2,A,0,2,A,R East
19/09/2015,Stoke,Leicester,2,2,D,2,0,H,A Marriner
19/09/2015,Swansea,Everton,0,0,D,0,0,D,S Attwell
20/09/2015,Liverpool,Norwich,1,1,D,0,0,D,A Taylor
20/09/2015,Southampton,Man United,2,3,A,1,1,D,M Clattenburg
20/09/2015,Tottenham,Crystal Palace,1,0,H,0,0,D,M Oliver
26/09/2015,Leicester,Arsenal,2,5,A,1,2,A,C Pawson
26/09/2015,Liverpool,Aston Villa,3,2,H,1,0,H,J Moss
26/09/2015,Man United,Sunderland,3,0,H,1,0,H,M Jones
26/09/2015,Newcastle,Chelsea,2,2,D,1,0,H,M Atkinson
26/09/2015,Southampton,Swansea,3,1,H,1,0,H,R East
26/09/2015,Stoke,Bournemouth,2,1,H,1,0,H,L Mason
26/09/2015,Tottenham,Man City,4,1,H,1,1,D,M Clattenburg
26/09/2015,West Ham,Norwich,2,2,D,1,1,D,M Dean
27/09/2015,Watford,Crystal Palace,0,1,A,0,0,D,A Taylor
28/09/2015,West Brom,Everton,2,3,A,1,0,H,R Madley
03/10/2015,Aston Villa,Stoke,0,1,A,0,0,D,M Jones
03/10/2015,Bournemouth,Watford,1,1,D,1,1,D,M Oliver
03/10/2015,Chelsea,Southampton,1,3,A,1,1,D,R Madley
03/10/2015,Crystal Palace,West Brom,2,0,H,0,0,D,J Moss
03/10/2015,Man City,Newcastle,6,1,H,1,1,D,K Friend
03/10/2015,Norwich,Leicester,1,2,A,0,1,A,M Clattenburg
03/10/2015,Sunderland,West Ham,2,2,D,2,1,H,N Swarbrick
04/10/2015,Arsenal,Man United,3,0,H,3,0,H,A Taylor
04/10/2015,Everton,Liverpool,1,1,D,1,1,D,M Atkinson
04/10/2015,Swansea,Tottenham,2,2,D,2,1,H,M Dean
17/10/2015,Chelsea,Aston Villa,2,0,H,1,0,H,R East
17/10/2015,Crystal Palace,West Ham,1,3,A,1,1,D,M Clattenburg
17/10/2015,Everton,Man United,0,3,A,0,2,A,J Moss
17/10/2015,Man City,Bournemouth,5,1,H,4,1,H,M Dean
17/10/2015,Southampton,Leicester,2,2,D,2,0,H,P Tierney
17/10/2015,Tottenham,Liverpool,0,0,D,0,0,D,C Pawson
17/10/2015,Watford,Arsenal,0,3,A,0,0,D,M Jones
17/10/2015,West Brom,Sunderland,1,0,H,0,0,D,M Atkinson
18/10/2015,Newcastle,Norwich,6,2,H,3,2,H,A Taylor
19/10/2015,Swansea,Stoke,0,1,A,0,1,A,R Madley
24/10/2015,Arsenal,Everton,2,1,H,2,1,H,L Mason
24/10/2015,Aston Villa,Swansea,1,2,A,0,0,D,N Swarbrick
24/10/2015,Leicester,Crystal Palace,1,0,H,0,0,D,M Dean
24/10/2015,Norwich,West Brom,0,1,A,0,0,D,K Friend
24/10/2015,Stoke,Watford,0,2,A,0,1,A,M Atkinson
24/10/2015,West Ham,Chelsea,2,1,H,1,0,H,J Moss
25/10/2015,Bournemouth,Tottenham,1,5,A,1,3,A,R East
25/10/2015,Liverpool,Southampton,1,1,D,0,0,D,A Marriner
25/10/2015,Man United,Man City,0,0,D,0,0,D,M Clattenburg
25/10/2015,Sunderland,Newcastle,3,0,H,1,0,H,R Madley
31/10/2015,Chelsea,Liverpool,1,3,A,1,1,D,M Clattenburg
31/10/2015,Crystal Palace,Man United,0,0,D,0,0,D,M Jones
31/10/2015,Man City,Norwich,2,1,H,0,0,D,R Madley
31/10/2015,Newcastle,Stoke,0,0,D,0,0,D,R East
31/10/2015,Swansea,Arsenal,0,3,A,0,0,D,K Friend
31/10/2015,Watford,West Ham,2,0,H,1,0,H,K Stroud
31/10/2015,West Brom,Leicester,2,3,A,1,0,H,A Taylor
01/11/2015,Everton,Sunderland,6,2,H,2,1,H,A Marriner
01/11/2015,Southampton,Bournemouth,2,0,H,2,0,H,C Pawson
02/11/2015,Tottenham,Aston Villa,3,1,H,2,0,H,M Dean
07/11/2015,Bournemouth,Newcastle,0,1,A,0,1,A,L Mason
07/11/2015,Leicester,Watford,2,1,H,0,0,D,R East
07/11/2015,Man United,West Brom,2,0,H,0,0,D,M Dean
07/11/2015,Norwich,Swansea,1,0,H,0,0,D,M Clattenburg
07/11/2015,Stoke,Chelsea,1,0,H,0,0,D,A Taylor
07/11/2015,Sunderland,Southampton,0,1,A,0,0,D,M Jones
07/11/2015,West Ham,Everton,1,1,D,1,1,D,P Tierney
08/11/2015,Arsenal,Tottenham,1,1,D,0,1,A,M Atkinson
08/11/2015,Aston Villa,Man City,0,0,D,0,0,D,C Pawson
08/11/2015,Liverpool,Crystal Palace,1,2,A,1,1,D,N Swarbrick
21/11/2015,Chelsea,Norwich,1,0,H,0,0,D,C Pawson
