Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
15/08/09,Aston Villa,Wigan,0,2,A,0,1,A,M Clattenburg
15/08/09,Blackburn,Man City,0,2,A,0,1,A,M Dean
15/08/09,Bolton,Sunderland,0,1,A,0,1,A,A Marriner
15/08/09,Chelsea,Hull,2,1,H,1,1,D,A Wiley
15/08/09,Everton,Arsenal,1,6,A,0,3,A,M Halsey
15/08/09,Portsmouth,Fulham,0,1,A,0,1,A,M Atkinson
15/08/09,Stoke,Burnley,2,0,H,2,0,H,S Bennett
15/08/09,Wolves,West Ham,0,2,A,0,1,A,C Foy
16/08/09,Man United,Birmingham,1,0,H,1,0,H,L Mason
16/08/09,Tottenham,Liverpool,2,1,H,1,0,H,P Dowd
18/08/09,Sunderland,Chelsea,1,3,A,1,0,H,S Bennett
18/08/09,Wigan,Wolves,0,1,A,0,1,A,M Jones
19/08/09,Birmingham,Portsmouth,1,0,H,0,0,D,L Probert
19/08/09,Burnley,Man United,1,0,H,1,0,H,A Wiley
19/08/09,Hull,Tottenham,1,5,A,1,3,A,C Foy
19/08/09,Liverpool,Stoke,4,0,H,2,0,H,P Walton
22/08/09,Arsenal,Portsmouth,4,1,H,2,1,H,S Bennett
22/08/09,Birmingham,Stoke,0,0,D,0,0,D,C Foy
22/08/09,Hull,Bolton,1,0,H,0,0,D,M Jones
22/08/09,Man City,Wolves,1,0,H,1,0,H,L Mason
22/08/09,Sunderland,Blackburn,2,1,H,1,1,D,A Wiley
22/08/09,Wigan,Man United,0,5,A,0,0,D,H Webb
23/08/09,Burnley,Everton,1,0,H,1,0,H,P Dowd
23/08/09,Fulham,Chelsea,0,2,A,0,1,A,A Marriner
23/08/09,West Ham,Tottenham,1,2,A,0,0,D,M Clattenburg
24/08/09,Liverpool,Aston Villa,1,3,A,0,2,A,M Atkinson
29/08/09,Blackburn,West Ham,0,0,D,0,0,D,P Dowd
29/08/09,Bolton,Liverpool,2,3,A,1,1,D,A Wiley
29/08/09,Chelsea,Burnley,3,0,H,1,0,H,M Clattenburg
29/08/09,Man United,Arsenal,2,1,H,0,1,A,M Dean
29/08/09,Stoke,Sunderland,1,0,H,1,0,H,M Jones
29/08/09,Tottenham,Birmingham,2,1,H,0,0,D,P Walton
29/08/09,Wolves,Hull,1,1,D,0,1,A,S Attwell
30/08/09,Aston Villa,Fulham,2,0,H,1,0,H,S Bennett
30/08/09,Everton,Wigan,2,1,H,0,0,D,L Probert
30/08/09,Portsmouth,Man City,0,1,A,0,1,A,H Webb
12/09/09,Blackburn,Wolves,3,1,H,1,0,H,S Bennett
12/09/09,Liverpool,Burnley,4,0,H,2,0,H,L Mason
12/09/09,Man City,Arsenal,4,2,H,1,0,H,M Clattenburg
12/09/09,Portsmouth,Bolton,2,3,A,1,2,A,C Foy
12/09/09,Stoke,Chelsea,1,2,A,1,1,D,M Dean
12/09/09,Sunderland,Hull,4,1,H,1,1,D,M Atkinson
12/09/09,Tottenham,Man United,1,3,A,1,2,A,A Marriner
12/09/09,Wigan,West Ham,1,0,H,0,0,D,A Wiley
13/09/09,Birmingham,Aston Villa,0,1,A,0,0,D,H Webb
13/09/09,Fulham,Everton,2,1,H,0,1,A,P Walton
19/09/09,Arsenal,Wigan,4,0,H,1,0,H,M Jones
19/09/09,Aston Villa,Portsmouth,2,0,H,2,0,H,S Attwell
19/09/09,Bolton,Stoke,1,1,D,0,0,D,M Clattenburg
19/09/09,Burnley,Sunderland,3,1,H,1,1,D,C Foy
19/09/09,Hull,Birmingham,0,1,A,0,0,D,P Dowd
19/09/09,West Ham,Liverpool,2,3,A,2,2,D,A Marriner
20/09/09,Chelsea,Tottenham,3,0,H,1,0,H,H Webb
20/09/09,Everton,Blackburn,3,0,H,1,0,H,L Mason
20/09/09,Man United,Man City,4,3,H,1,1,D,M Atkinson
20/09/09,Wolves,Fulham,2,1,H,1,0,H,K Friend
26/09/09,Birmingham,Bolton,1,2,A,0,1,A,S Bennett
26/09/09,Blackburn,Aston Villa,2,1,H,1,1,D,M Clattenburg
26/09/09,Fulham,Arsenal,0,1,A,0,0,D,M Atkinson
26/09/09,Liverpool,Hull,6,1,H,2,1,H,P Walton
26/09/09,Portsmouth,Everton,0,1,A,0,1,A,A Wiley
26/09/09,Stoke,Man United,0,2,A,0,0,D,H Webb
26/09/09,Tottenham,Burnley,5,0,H,2,0,H,M Dean
26/09/09,Wigan,Chelsea,3,1,H,1,0,H,P Dowd
27/09/09,Sunderland,Wolves,5,2,H,1,0,H,L Mason
28/09/09,Man City,West Ham,3,1,H,2,1,H,C Foy
03/10/09,Bolton,Tottenham,2,2,D,1,1,D,M Jones
03/10/09,Burnley,Birmingham,2,1,H,0,0,D,K Friend
03/10/09,Hull,Wigan,2,1,H,0,0,D,M Clattenburg
03/10/09,Man United,Sunderland,2,2,D,0,1,A,A Wiley
03/10/09,Wolves,Portsmouth,0,1,A,0,1,A,H Webb
04/10/09,Arsenal,Blackburn,6,2,H,3,2,H,P Walton
04/10/09,Chelsea,Liverpool,2,0,H,0,0,D,M Atkinson
04/10/09,Everton,Stoke,1,1,D,0,0,D,A Marriner
04/10/09,West Ham,Fulham,2,2,D,1,0,H,P Dowd
05/10/09,Aston Villa,Man City,1,1,D,1,0,H,M Dean
