Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
16/08/08,Arsenal,West Brom,1,0,H,1,0,H,H Webb
16/08/08,Bolton,Stoke,3,1,H,3,0,H,C Foy
16/08/08,Everton,Blackburn,2,3,A,1,1,D,A Marriner
16/08/08,Hull,Fulham,2,1,H,1,1,D,P Walton
16/08/08,Middlesbrough,Tottenham,2,1,H,0,0,D,M Atkinson
16/08/08,Sunderland,Liverpool,0,1,A,0,0,D,A Wiley
16/08/08,West Ham,Wigan,2,1,H,2,0,H,S Bennett
17/08/08,Aston Villa,Man City,4,2,H,0,0,D,P Dowd
17/08/08,Chelsea,Portsmouth,4,0,H,3,0,H,M Dean
17/08/08,Man United,Newcastle,1,1,D,1,1,D,M Riley
23/08/08,Blackburn,Hull,1,1,D,1,1,D,S Attwell
23/08/08,Fulham,Arsenal,1,0,H,1,0,H,M Atkinson
23/08/08,Liverpool,Middlesbrough,2,1,H,0,0,D,M Riley
23/08/08,Newcastle,Bolton,1,0,H,0,0,D,S Bennett
23/08/08,Stoke,Aston Villa,3,2,H,1,0,H,M Halsey
23/08/08,Tottenham,Sunderland,1,2,A,0,0,D,M Dean
23/08/08,West Brom,Everton,1,2,A,0,0,D,R Styles
24/08/08,Man City,West Ham,3,0,H,0,0,D,H Webb
24/08/08,Wigan,Chelsea,0,1,A,0,1,A,A Wiley
25/08/08,Portsmouth,Man United,0,1,A,0,1,A,C Foy
30/08/08,Arsenal,Newcastle,3,0,H,2,0,H,R Styles
30/08/08,Bolton,West Brom,0,0,D,0,0,D,K Stroud
30/08/08,Everton,Portsmouth,0,3,A,0,2,A,M Halsey
30/08/08,Hull,Wigan,0,5,A,0,2,A,M Jones
30/08/08,Middlesbrough,Stoke,2,1,H,1,0,H,M Dean
30/08/08,West Ham,Blackburn,4,1,H,2,1,H,M Riley
31/08/08,Aston Villa,Liverpool,0,0,D,0,0,D,M Atkinson
31/08/08,Chelsea,Tottenham,1,1,D,1,1,D,H Webb
31/08/08,Sunderland,Man City,0,3,A,0,1,A,C Foy
13/09/08,Blackburn,Arsenal,0,4,A,0,2,A,M Dean
13/09/08,Fulham,Bolton,2,1,H,2,0,H,S Tanner
13/09/08,Liverpool,Man United,2,1,H,1,1,D,H Webb
13/09/08,Man City,Chelsea,1,3,A,1,1,D,M Halsey
13/09/08,Newcastle,Hull,1,2,A,0,1,A,A Marriner
13/09/08,Portsmouth,Middlesbrough,2,1,H,0,1,A,S Attwell
13/09/08,West Brom,West Ham,3,2,H,2,2,D,L Probert
13/09/08,Wigan,Sunderland,1,1,D,0,1,A,R Styles
14/09/08,Stoke,Everton,2,3,A,0,1,A,A Wiley
15/09/08,Tottenham,Aston Villa,1,2,A,0,1,A,S Bennett
20/09/08,Blackburn,Fulham,1,0,H,0,0,D,L Probert
20/09/08,Bolton,Arsenal,1,3,A,1,2,A,S Bennett
20/09/08,Liverpool,Stoke,0,0,D,0,0,D,A Marriner
20/09/08,Sunderland,Middlesbrough,2,0,H,0,0,D,H Webb
20/09/08,West Ham,Newcastle,3,1,H,2,0,H,P Dowd
21/09/08,Chelsea,Man United,1,1,D,0,1,A,M Riley
21/09/08,Hull,Everton,2,2,D,1,0,H,L Mason
21/09/08,Man City,Portsmouth,6,0,H,2,0,H,A Wiley
21/09/08,Tottenham,Wigan,0,0,D,0,0,D,S Tanner
21/09/08,West Brom,Aston Villa,1,2,A,1,2,A,M Dean
27/09/08,Arsenal,Hull,1,2,A,0,0,D,A Wiley
27/09/08,Aston Villa,Sunderland,2,1,H,2,1,H,P Walton
27/09/08,Everton,Liverpool,0,2,A,0,0,D,M Riley
27/09/08,Fulham,West Ham,1,2,A,0,2,A,A Marriner
27/09/08,Man United,Bolton,2,0,H,0,0,D,R Styles
27/09/08,Middlesbrough,West Brom,0,1,A,0,0,D,C Foy
27/09/08,Newcastle,Blackburn,1,2,A,0,2,A,S Tanner
27/09/08,Stoke,Chelsea,0,2,A,0,1,A,M Atkinson
28/09/08,Portsmouth,Tottenham,2,0,H,1,0,H,M Dean
28/09/08,Wigan,Man City,2,1,H,2,1,H,S Bennett
04/10/08,Blackburn,Man United,0,2,A,0,1,A,S Bennett
04/10/08,Sunderland,Arsenal,1,1,D,0,0,D,L Mason
04/10/08,West Brom,Fulham,1,0,H,0,0,D,P Dowd
04/10/08,Wigan,Middlesbrough,0,1,A,0,0,D,M Atkinson
05/10/08,Chelsea,Aston Villa,2,0,H,2,0,H,C Foy
05/10/08,Everton,Newcastle,2,2,D,2,1,H,H Webb
05/10/08,Man City,Liverpool,2,3,A,2,0,H,P Walton
05/10/08,Portsmouth,Stoke,2,1,H,1,0,H,A Marriner
05/10/08,Tottenham,Hull,0,1,A,0,1,A,R Styles
05/10/08,West Ham,Bolton,1,3,A,0,2,A,M Dean
18/10/08,Arsenal,Everton,3,1,H,0,1,A,P Walton
18/10/08,Aston Villa,Portsmouth,0,0,D,0,0,D,M Riley
18/10/08,Bolton,Blackburn,0,0,D,0,0,D,H Webb
18/10/08,Fulham,Sunderland,0,0,D,0,0,D,K Stroud
18/10/08,Liverpool,Wigan,3,2,H,1,2,A,A Wiley
18/10/08,Man United,West Brom,4,0,H,0,0,D,M Halsey
18/10/08,Middlesbrough,Chelsea,0,5,A,0,1,A,P Dowd
19/10/08,Hull,West Ham,1,0,H,0,0,D,C Foy
19/10/08,Stoke,Tottenham,2,1,H,1,1,D,L Mason
20/10/08,Newcastle,Man City,2,2,D,1,1,D,R Styles
25/10/08,Blackburn,Middlesbrough,1,1,D,0,0,D,M Dean
25/10/08,Everton,Man United,1,1,D,0,1,A,A Wiley
25/10/08,Sunderland,Newcastle,2,1,H,1,1,D,M Riley
25/10/08,West Brom,Hull,0,3,A,0,0,D,L Probert
26/10/08,Chelsea,Liverpool,0,1,A,0,1,A,H Webb
26/10/08,Man City,Stoke,3,0,H,1,0,H,S Tanner
26/10/08,Portsmouth,Fulham,1,1,D,0,0,D,M Halsey
26/10/08,Tottenham,Bolton,2,0,H,1,0,H,A Marriner
26/10/08,West Ham,Arsenal,0,2,A,0,0,D,P Dowd
26/10/08,Wigan,Aston Villa,0,4,A,0,1,A,M Jones
28/10/08,Newcastle,West Brom,2,1,H,2,0,H,M Dean
29/10/08,Arsenal,Tottenham,4,4,D,1,1,D,M Atkinson
29/10/08,Aston Villa,Blackburn,3,2,H,1,1,D,K Stroud
29/10/08,Bolton,Everton,0,1,A,0,0,D,P Dowd
29/10/08,Fulham,Wigan,2,0,H,1,0,H,H Webb
29/10/08,Hull,Chelsea,0,3,A,0,1,A,A Marriner
29/10/08,Liverpool,Portsmouth,1,0,H,0,0,D,S Tanner
29/10/08,Man United,West Ham,2,0,H,2,0,H,P Walton
29/10/08,Middlesbrough,Man City,2,0,H,0,0,D,L Mason
29/10/08,Stoke,Sunderland,1,0,H,0,0,D,C Foy
01/11/08,Chelsea,Sunderland,5,0,H,3,0,H,M Atkinson
01/11/08,Everton,Fulham,1,0,H,0,0,D,L Mason
01/11/08,Man United,Hull,4,3,H,3,1,H,M Dean
01/11/08,Middlesbrough,West Ham,1,1,D,0,1,A,A Marriner
01/11/08,Portsmouth,Wigan,1,2,A,0,1,A,P Walton
01/11/08,Stoke,Arsenal,2,1,H,1,0,H,R Styles
01/11/08,Tottenham,Liverpool,2,1,H,0,1,A,P Dowd
01/11/08,West Brom,Blackburn,2,2,D,0,1,A,M Jones
02/11/08,Bolton,Man City,2,0,H,0,0,D,M Riley
03/11/08,Newcastle,Aston Villa,2,0,H,0,0,D,S Bennett
08/11/08,Arsenal,Man United,2,1,H,1,0,H,H Webb
08/11/08,Hull,Bolton,0,1,A,0,0,D,A Wiley
08/11/08,Liverpool,West Brom,3,0,H,2,0,H,P Walton
08/11/08,Sunderland,Portsmouth,1,2,A,1,0,H,S Bennett
08/11/08,West Ham,Everton,1,3,A,0,0,D,M Halsey
