Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee
13/08/16,Burnley,Swansea,0,1,A,0,0,D,J Moss
13/08/16,Crystal Palace,West Brom,0,1,A,0,0,D,C Pawson
13/08/16,Everton,Tottenham,1,1,D,1,0,H,M Atkinson
13/08/16,Hull,Leicester,2,1,H,1,0,H,M Dean
13/08/16,Man City,Sunderland,2,1,H,1,0,H,R Madley
13/08/16,Middlesbrough,Stoke,1,1,D,1,0,H,K Friend
13/08/16,Southampton,Watford,1,1,D,0,1,A,R East
14/08/16,Arsenal,Liverpool,3,4,A,1,1,D,M Oliver
14/08/16,Bournemouth,Man United,1,3,A,0,1,A,A Marriner
15/08/16,Chelsea,West Ham,2,1,H,0,0,D,A Taylor
19/08/16,Man United,Southampton,2,0,H,1,0,H,A Taylor
20/08/16,Burnley,Liverpool,2,0,H,2,0,H,L Mason
20/08/16,Leicester,Arsenal,0,0,D,0,0,D,M Clattenburg
20/08/16,Stoke,Man City,1,4,A,0,2,A,M Dean
20/08/16,Swansea,Hull,0,2,A,0,0,D,S Attwell
20/08/16,Tottenham,Crystal Palace,1,0,H,0,0,D,M Oliver
20/08/16,Watford,Chelsea,1,2,A,0,0,D,J Moss
20/08/16,West Brom,Everton,1,2,A,1,1,D,N Swarbrick
21/08/16,Sunderland,Middlesbrough,1,2,A,0,2,A,M Atkinson
21/08/16,West Ham,Bournemouth,1,0,H,0,0,D,C Pawson
27/08/16,Chelsea,Burnley,3,0,H,2,0,H,M Clattenburg
27/08/16,Crystal Palace,Bournemouth,1,1,D,0,1,A,M Dean
27/08/16,Everton,Stoke,1,0,H,0,0,D,M Oliver
27/08/16,Hull,Man United,0,1,A,0,0,D,J Moss
27/08/16,Leicester,Swansea,2,1,H,1,0,H,R East
27/08/16,Southampton,Sunderland,1,1,D,0,0,D,L Mason
27/08/16,Tottenham,Liverpool,1,1,D,0,1,A,R Madley
27/08/16,Watford,Arsenal,1,3,A,0,3,A,K Friend
